****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 15 threads.
Random seed: 43
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Will perform 200 bootstrap resamplings to estimate standard errors.
Reestimation for each bootstrap replicate will terminate at 3 iterations
Size of G: 1891x55290
Average base pair separation between consecutive markers: 50281.2
Block size that will be used for block bootstrap: 199
Performing five EM steps to prime main algorithm
176 (QN/Block) 	Elapsed: 23.862	Loglikelihood: -1.40167e+08	(delta): 0.00580665
177 (QN/Block) 	Elapsed: 23.299	Loglikelihood: -1.40167e+08	(delta): 0.00988188
178 (QN/Block) 	Elapsed: 23.271	Loglikelihood: -1.40167e+08	(delta): 0.0144829
179 (QN/Block) 	Elapsed: 20.793	Loglikelihood: -1.40167e+08	(delta): 0.00339326
180 (QN/Block) 	Elapsed: 20.196	Loglikelihood: -1.40167e+08	(delta): 0.00593835
181 (QN/Block) 	Elapsed: 23.291	Loglikelihood: -1.40167e+08	(delta): 0.00245929
182 (QN/Block) 	Elapsed: 22.1	Loglikelihood: -1.40167e+08	(delta): 0.00306344
183 (QN/Block) 	Elapsed: 22.326	Loglikelihood: -1.40167e+08	(delta): 0.00230286
184 (QN/Block) 	Elapsed: 20.613	Loglikelihood: -1.40167e+08	(delta): 0.00115877
185 (QN/Block) 	Elapsed: 20.811	Loglikelihood: -1.40167e+08	(delta): 0.0047673
186 (QN/Block) 	Elapsed: 19.891	Loglikelihood: -1.40167e+08	(delta): 0.00566369
187 (QN/Block) 	Elapsed: 21.978	Loglikelihood: -1.40167e+08	(delta): 0.00745264
188 (QN/Block) 	Elapsed: 21.075	Loglikelihood: -1.40167e+08	(delta): 0.00207534
189 (QN/Block) 	Elapsed: 24.631	Loglikelihood: -1.40167e+08	(delta): 0.0126983
190 (QN/Block) 	Elapsed: 26.149	Loglikelihood: -1.40167e+08	(delta): 0.0113474
191 (QN/Block) 	Elapsed: 21.629	Loglikelihood: -1.40167e+08	(delta): 0.0259351
192 (QN/Block) 	Elapsed: 20.378	Loglikelihood: -1.40167e+08	(delta): 0.00143388
193 (QN/Block) 	Elapsed: 20.515	Loglikelihood: -1.40167e+08	(delta): 0.00888267
194 (QN/Block) 	Elapsed: 21.877	Loglikelihood: -1.40167e+08	(delta): 0.00907537
195 (QN/Block) 	Elapsed: 24.35	Loglikelihood: -1.40167e+08	(delta): 0.0162347
